producto_id,monto,cantidad,tipo
80,272.0,1,compra
81,352.0,2,compra
82,396.0,1,compra
83,344.0,1,compra
84,264.8,1,compra
85,352.0,1,compra
86,272.0,1,compra
87,212.0,1,compra
88,264.0,1,compra
89,228.8,1,compra
90,352.8,1,compra
91,272.0,1,compra
92,212.0,1,compra
93,264.0,1,compra
94,576.8,2,compra
95,272.0,1,compra
96,352.0,1,compra
97,264.0,1,compra
98,212.0,1,compra
99,177.6,1,compra
100,352.0,2,compra
96,704.0,1,compra
101,704.0,1,compra
102,616.0,2,compra
